,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6
TCGA-LL-A5YP-01A-21D-A28B-09,0.0022501453604994535,0.0022506619710544007,0.048639711431013914,0.17520187684208288,0.7694049931737558,0.002252611221593571
TCGA-A7-A26J-01A-11D-A272-09,0.00701826728882136,0.5790662343222762,0.007041047786083041,0.13459056162729036,0.2652837727658928,0.007000116209636125
TCGA-HN-A2NL-01A-11D-A18P-09,0.0022198248404433503,0.2588372211917079,0.002215751545655515,0.25068258779769337,0.4838261623310313,0.0022184522934686696
TCGA-AR-A24O-01A-11D-A167-09,0.008165971248139439,0.008037415346346466,0.00801858267091455,0.008044129046315672,0.5191272273855575,0.4486066743027263
TCGA-A7-A26E-01B-06D-A272-09,0.004683702251774392,0.5626020157184023,0.4185781524263678,0.004733448650284138,0.004689609008289827,0.004713071944881587
TCGA-A8-A07W-01A-11W-A019-09,0.0012697021438813404,0.0012683962068538882,0.05860005669708365,0.001266243141155824,0.6462198843111032,0.2913757174999221
TCGA-AN-A0AM-01A-11W-A050-09,0.00198222470474526,0.2829825910834586,0.09812841829012556,0.0019846287568947426,0.6129377682704777,0.0019843688942980876
TCGA-AC-A5EI-01A-11D-A27P-09,0.006228061804883453,0.4129332910358004,0.18479973751028678,0.006217166729456129,0.38357961940772245,0.006242123511850859
TCGA-LL-A7SZ-01A-32D-A351-09,0.003513587409909777,0.3086550499195933,0.0035184964283807713,0.003500556653175202,0.26289845781201643,0.4179138517769246
TCGA-A8-A09Q-01A-11W-A019-09,0.04015055212130683,0.3838547597092015,0.0010779890916036098,0.001081347687053013,0.5727547199766115,0.0010806314142234829
TCGA-E2-A15E-06A-11D-A12B-09,0.004523129369284211,0.004555192260318144,0.00458163537158006,0.004565364898716361,0.48850973148727533,0.49326494661282594
TCGA-B6-A0IJ-01A-11W-A050-09,0.03199111013676088,0.0011793350895156639,0.1334467882641829,0.09946564399799625,0.7327382997464328,0.0011788227651115177
TCGA-E2-A15E-01A-11D-A12B-09,0.004930635284734991,0.00496171584865569,0.11777460211936856,0.17336682661697164,0.13603827160815576,0.5629279485221134
TCGA-A8-A0A4-01A-11W-A019-09,0.007991574509301819,0.959926000518937,0.007989043373013293,0.008038026383654778,0.00803043912223322,0.008024916092860001
TCGA-E2-A1LL-01A-11D-A142-09,0.004096691941626346,0.24990978260475116,0.004102887708134193,0.0041206732313703275,0.7336578183479568,0.004112146166161315
TCGA-AN-A0FY-01A-11W-A050-09,0.003371209903029802,0.5335259841559288,0.0033830521207319645,0.0033603072136348085,0.20105466711935369,0.25530477948732105
TCGA-E2-A15J-01A-11D-A12Q-09,0.007313009184515216,0.5983972501591412,0.007293086482377753,0.007325771267622492,0.37232361194452684,0.00734727096181651
TCGA-D8-A1XG-01A-11D-A14G-09,0.008444454701480662,0.008442098970996926,0.008527790615861815,0.4775555119936223,0.00842561406563705,0.4886045296524012
TCGA-AR-A24L-01A-11D-A167-09,0.004001655367359784,0.004027397801617591,0.004023062127100219,0.004022473070748034,0.9798974776931054,0.0040279339400690235
TCGA-OL-A66O-01A-11D-A31U-09,0.007351710465897561,0.5179190259709563,0.007359029554358739,0.21431787372374342,0.0073454553189038875,0.2457069049661403
TCGA-B6-A0X0-01A-21D-A10Y-09,0.008931460949532557,0.5702985286681889,0.008921146692027357,0.3940766371864542,0.008892941260166308,0.008879285243630868
TCGA-E9-A244-01A-11D-A167-09,0.001829141090051496,0.2970995425934178,0.001826826752825304,0.2430916826787945,0.4543184538929646,0.001834352991946231
TCGA-BH-A0EA-01A-11D-A10Y-09,0.005995584260300332,0.4108976430660893,0.006055142040155157,0.006004655128561967,0.23432224149700434,0.336724734007889
TCGA-BH-A8FZ-01A-11D-A351-09,0.002563618728972962,0.1949884934473353,0.0025619896094065155,0.002553267609817939,0.794776465832938,0.002556164771529369
TCGA-BH-A0AZ-01A-21D-A12Q-09,0.0029624064471847613,0.002963883127595192,0.13591544941959882,0.1764493170776667,0.6787465677966718,0.002962376131282803
TCGA-AO-A1KT-01A-11D-A13L-09,0.003646071236306299,0.18017370165461358,0.003661098895835238,0.0036614110144687134,0.5222277455581241,0.286629971640652
TCGA-EW-A1P4-01A-21D-A142-09,0.002647063502517401,0.002638397312028715,0.0026352488518742935,0.0026288944232126343,0.8630884437595127,0.12636195215085427
TCGA-E2-A14R-01A-11D-A10Y-09,0.041685476139626775,0.0015619319143005154,0.056157240977468624,0.00156278005176144,0.897472531740803,0.0015600391760395716
TCGA-D8-A1JD-01A-11D-A13L-09,0.10026462134369768,0.0017958348753665566,0.12260478951402004,0.18717109346278402,0.5863660185433821,0.0017976422607496186
TCGA-B6-A409-01A-11D-A243-09,0.004533594165931461,0.36614022147410946,0.20373515768949002,0.004563629502383334,0.23867007980614824,0.18235731736193755
TCGA-A8-A06Y-01A-21W-A019-09,0.005463122928785107,0.445688075189426,0.005465288480614244,0.1120497416637099,0.4258947700370046,0.005439001700460182
TCGA-E9-A248-01A-11D-A167-09,0.009876656289643706,0.4437960418427644,0.23631148023298962,0.009941270500584668,0.009947088798537857,0.2901274623354796
TCGA-AN-A0FX-01A-11W-A050-09,0.036335446256443485,0.23090933691851465,0.0018932266486028707,0.001897813426649642,0.727069149734695,0.0018950270150943597
TCGA-B6-A0X1-01A-11D-A10G-09,0.07507751551843687,0.0023138480953561378,0.13083459967893415,0.002305029619883071,0.7871569476114386,0.00231205947595124
TCGA-A7-A0D9-01A-31W-A071-09,0.00764882502857248,0.007675512886995481,0.19346395388365445,0.007658642424215406,0.6240045441735463,0.15954852160301583
TCGA-A2-A3Y0-01A-11D-A23C-09,0.0009781508678445956,0.000980831610668203,0.0761242703498983,0.0010254475363163655,0.8220972277192579,0.09879407191601454
TCGA-E2-A15K-01A-11D-A12Q-09,0.004023917064457477,0.4746789896293697,0.003995188692970069,0.004023697886898181,0.3003997932311691,0.21287841349513562
TCGA-E9-A22E-01A-11D-A159-09,0.0014021203973849942,0.05052097782302173,0.21927589105447223,0.20944420065371597,0.5179528338152845,0.001403976256120636
TCGA-BH-A1EU-01A-11D-A135-09,0.009305127820399424,0.263780381978795,0.009348193321804995,0.009349667460220094,0.6988506203300202,0.009366009088760398
TCGA-E2-A15H-01A-11D-A12B-09,0.00542865192702935,0.005448441466924163,0.005455322295239341,0.0054569074575926855,0.4044506642220743,0.5737600126311402
TCGA-3C-AALI-01A-11D-A41F-09,0.0003031640591359221,0.053846095492149346,0.8863545997092876,0.05570172990138532,0.003491182590854308,0.00030322824718744435
TCGA-C8-A130-01A-31D-A10Y-09,0.0036492694280659244,0.5414453379847152,0.13993535625433937,0.003663926262666476,0.003671078235140741,0.30763503183507224
TCGA-AC-A6NO-01A-12D-A33E-09,0.00601414397304819,0.2058876577948508,0.2031301465409493,0.12288273773075435,0.006025448024262387,0.456059865936135
TCGA-AC-A8OS-01A-12D-A41F-09,0.0036377810001723358,0.20819815111518317,0.18284501743240075,0.0036624778810061885,0.5979875670304128,0.0036690055408248354
TCGA-D8-A1J9-01A-11D-A13L-09,0.05688416049444181,0.0008237783019594117,0.8549587619376083,0.08568722322606033,0.0008235205265756612,0.0008225555133543241
TCGA-C8-A8HR-01A-11D-A36J-09,0.004790561172088491,0.28194786928362475,0.004818300015526208,0.004807646550555568,0.6988191114340335,0.004816511544171356
TCGA-EW-A1PG-01A-11D-A142-09,0.015357424820271671,0.9234423824386478,0.015296491400137412,0.015325800882835361,0.015305218962704077,0.015272681495403657
TCGA-E2-A1B4-01A-11D-A12Q-09,0.004825188112522719,0.4071729609139481,0.12199377561821237,0.004823135295965645,0.4563642391059507,0.00482070095340067
TCGA-D8-A1JS-01A-11D-A13L-09,0.0073694191307176575,0.4967140642710325,0.007349086052157421,0.007311121977399492,0.473934264044071,0.0073220445246218735
