,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
TCGA-L4-A4E5-01A-11D-A24P-08,0.1553417883513499,0.2024655712861044,0.0003440397323198446,0.4355529379282882,0.11510280449688072,0.06501730192167318,0.0003440270511831038,0.025831529232200716
TCGA-S2-AA1A-01A-12D-A397-08,0.000972397883145302,0.0745587086178369,0.0009707113421026231,0.48843635251900913,0.0009708117403109611,0.0009709182960480471,0.0009709486769309005,0.43214915092461625
TCGA-50-5066-01A-01D-1625-08,0.25923559169234833,0.08951819185079686,0.00045878576652952005,0.17880998866535905,0.4706012410774742,0.00045876343705084587,0.00045874896321896225,0.0004586885472220704
TCGA-44-6774-01A-21D-1855-08,0.00789725156035175,0.3501929228561907,0.00040647633973609696,0.5877109505807602,0.00040659304120159613,0.0004065478926233481,0.0004065839164224587,0.05257267381271386
TCGA-05-5423-01A-01D-1625-08,0.0008027551302592088,0.2048303305694267,0.07804913975738159,0.0008027774295918551,0.0008028161500094564,0.000802804527969302,0.0008027489823483573,0.7131066274530136
TCGA-55-8096-01A-11D-2238-08,0.3329141103864547,0.23033993713634357,0.0008295487703803734,0.0008293208792542947,0.0008293826873756507,0.12096208221331131,0.0008294450929797719,0.3124661728339003
TCGA-05-4398-01A-01D-1265-08,0.20887530043777536,0.22200010583874516,0.07739783238765574,0.19918389263711625,0.13744156776634855,0.09534216994947092,0.00016899364265721823,0.05959013734023073
TCGA-71-8520-01A-11D-2393-08,0.001346727799669039,0.0013468037266436746,0.20212419545187818,0.0013469288265590769,0.0013467051555331665,0.7897954963279304,0.0013465732613289706,0.0013465694504575735
TCGA-93-A4JO-01A-21D-A24P-08,0.0024555463059811183,0.002455660143938022,0.2880191577776282,0.002455329340195019,0.36941363569478286,0.3302901502459153,0.00245557124717636,0.0024549492443833093
TCGA-44-2656-01A-02D-0969-08,0.00513258734631825,0.004306635497674904,0.00013673448725280135,0.9187015339514103,0.00013671473587028443,0.00013672897291077703,0.00013671480662478811,0.07131235020193799
