,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
TCGA-BH-A0B5-01A-11D-A12Q-09,0.0021230511092254624,0.00212217611189832,0.7077907934480706,0.04265119305632707,0.1658964289817609,0.07517175825355597,0.002121983453599072,0.0021226155855625776
TCGA-A2-A0YT-01A-11D-A10G-09,0.22494774240143206,0.002159156246289482,0.002159156395199574,0.002157463510432024,0.2143971200334795,0.0021591615911280247,0.10048904251857745,0.4515311573034618
TCGA-A8-A083-01A-21W-A019-09,0.0818222368803807,0.004173988548529043,0.004179227110874975,0.0041773825590545495,0.004176334167555779,0.00417482115275514,0.004174934913739626,0.8931210746671101
TCGA-BH-A0B4-01A-11W-A019-09,0.0018430753844947583,0.22988122322346338,0.0018421403813761567,0.20905727706599922,0.0018420284188301371,0.0018418052426120745,0.22880403259374368,0.3248884176894806
TCGA-EW-A1P8-01A-11D-A142-09,0.0035808467796298277,0.0035767750158558383,0.0035809909104682286,0.14179513839284896,0.003579061684241132,0.0035788309877229085,0.003580100638209508,0.8367282555910237
TCGA-BH-A0GZ-01A-11W-A071-09,0.003910038010084105,0.16847162827702977,0.003913056529859219,0.2443942511935226,0.32955990571942134,0.0039097485407191745,0.24192826821501504,0.003913103514348836
TCGA-A2-A0CV-01A-31D-A10Y-09,0.00569498141434965,0.13759251593190192,0.0056982321756249696,0.005689240155764836,0.36541586605229787,0.46852201975997104,0.005694704888350102,0.005692439621739626
TCGA-C8-A12Q-01A-11D-A10Y-09,0.06592715645277075,0.1274470230842544,0.6059148008617329,0.0011087316814094345,0.1138469914706472,0.08353883243857853,0.0011081663440740718,0.0011082976665326772
TCGA-AR-A1AL-01A-21D-A12Q-09,0.004632464401602657,0.004638062363336684,0.08427904245042965,0.004637761216839721,0.14232545109173095,0.0046409776797635425,0.004638078601730202,0.7502081621945665
TCGA-BH-A1F6-01A-11D-A13L-09,0.0032946998085637996,0.0032957331652259413,0.0032949496785049637,0.15184384252901711,0.0032962060319009444,0.12514501986575005,0.2569636989353535,0.45286584998568363
TCGA-AO-A12H-01A-11D-A10Y-09,0.005692361643374794,0.005692894227191817,0.0056877342146243745,0.00568975020405303,0.5367180800849435,0.005688389801906783,0.005690930423047355,0.4291398594008583
TCGA-B6-A0WY-01A-11D-A10G-09,0.005217323676484149,0.0052208468041772,0.005218992829578859,0.005219427065224349,0.3361908637931586,0.005219727085765394,0.0052162280899836905,0.6324965906556276
TCGA-AN-A0XP-01A-11D-A117-09,0.00432381501455331,0.00431823855775924,0.17983136455065088,0.004316788309807212,0.004319428828523045,0.45103804863018826,0.34753313350426596,0.004319182604252213
TCGA-E9-A1NC-01A-12W-A16L-09,0.0017892952013013623,0.40928478263084933,0.001789098971973414,0.0017894290356223544,0.001789215695703255,0.21769220245959292,0.3640768820997161,0.0017890939052412334
TCGA-LL-A740-01A-21D-A32I-09,0.0026101370641062565,0.12282220282696114,0.002609978165121601,0.025028950263392816,0.4228815724617539,0.1354007253902994,0.0026094324648109637,0.286037001363554
TCGA-E2-A15S-01A-11D-A10Y-09,0.0022750097351000296,0.446332233425402,0.0022782052863725326,0.0022778804380782147,0.002277616153681375,0.1751488568216117,0.3671333073631678,0.0022768907765864164
TCGA-AN-A046-01A-21W-A050-09,0.9988410847506108,2.1005393152006352e-05,2.099341327540882e-05,2.1005774884922588e-05,2.1004716227262104e-05,0.0010329037099255883,2.099761589930938e-05,2.1004626024579012e-05
TCGA-EW-A6SB-01A-12D-A32I-09,0.0021212452444705427,0.002122654969780887,0.0021226662418819334,0.0021222743780200982,0.2280966738428662,0.21305718156711986,0.15682650259640846,0.393530801159452
TCGA-E9-A1R5-01A-11D-A14K-09,0.002785591619015681,0.0027836448331934084,0.002785582316778383,0.0027825288458812403,0.5112341070264022,0.002781866835485475,0.0027845487074038503,0.47206212981583967
TCGA-Z7-A8R5-01A-42D-A41F-09,0.005438955275028894,0.0054405700079141845,0.0054378855122831065,0.0054436865500070986,0.6838159279431784,0.2835416616052159,0.005438688561779817,0.005442624544592705
TCGA-BH-A1ES-01A-11D-A135-09,0.005695239370399028,0.3217704096978605,0.00569882223915113,0.005690365145021832,0.6440618941844933,0.0056952452177610816,0.005697253444092263,0.00569077070122085
TCGA-A8-A07U-01A-11W-A050-09,0.001898487651441882,0.2682434028188581,0.33183652251340895,0.09179056637253763,0.1968508035124005,0.001896215977109453,0.10558624006525787,0.0018977610889854835
TCGA-E2-A1B5-01A-21D-A12Q-09,0.0032985949113505404,0.003294459338841613,0.37324805567660696,0.0032958042943843366,0.6069748642303231,0.0032980102132668353,0.0032950032444219145,0.003295208090804754
TCGA-C8-A9FZ-01A-11D-A41F-09,0.006584676744175128,0.006589684127761661,0.006590463284126935,0.006588816141009379,0.40160017638508433,0.006590428657748541,0.006591701186411982,0.558864053473682
TCGA-E2-A15A-06A-11D-A12B-09,0.0037965134309529158,0.46119672229888414,0.0037936857027478657,0.003797784323178515,0.5160259272201883,0.003796506213596832,0.0037975779061003813,0.003795282904351058
TCGA-B6-A0RG-01A-11W-A071-09,0.0021220050341180063,0.00212257423245496,0.0021228256037512574,0.0021225155250188727,0.0021223990454180535,0.002122247056524519,0.5009295871330823,0.48633584636963195
TCGA-E2-A1B0-01A-11D-A12Q-09,0.002454538028937354,0.0024550481537001416,0.0024556259009600673,0.002455421448483366,0.557912797582477,0.24580264766384957,0.18400815356021766,0.0024557676613748644
TCGA-AO-A12A-01A-21D-A10Y-09,0.007356943750448161,0.007365962938546776,0.007359700307068068,0.007368046139668809,0.7644289834291532,0.0073673813771317565,0.007361819961663471,0.19139116209631962
TCGA-A2-A0D2-01A-21W-A050-09,0.0014903105265012106,0.07219284082674235,0.0014903588606486402,0.16554418289993483,0.0014904596170274033,0.09850362758450702,0.5610360423321633,0.09825217735247505
