,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
TCGA-A6-A5ZU-01A-11D-A28G-10,0.000961837664477813,0.043366839396656004,0.0009618466512885689,0.0009615385361098402,0.0009618598514165511,0.0009617966992116605,0.6915985054197121,0.2583021824147597,0.0009617815156635635,0.0009618118507040156
TCGA-DM-A1HA-01A-11D-A152-10,0.0006624652762948256,0.02227489724503752,0.0006624473150964248,0.0006622517088420272,0.0006624274529517575,0.0006624465160705304,0.9085187136933826,0.06456949404723591,0.0006624138340792703,0.0006624429110092113
TCGA-AA-3520-01A-01D-1953-10,0.0034504379823859393,0.0034501645021815684,0.0034494719902987804,0.0034482763511055397,0.003448865897917072,0.24884879843176275,0.2268241206092648,0.5001797717557681,0.003449805905797555,0.0034502865735179227
TCGA-CM-4747-01A-01D-1408-10,0.0009904811157665395,0.0009903978131313052,0.0009904739096684412,0.0009900991033940094,0.11537790288845438,0.0009903754031600255,0.5324087753868505,0.34528056709474136,0.0009905349248816885,0.0009903923599517358
TCGA-A6-A56B-01A-31D-A28G-10,0.0010207719819677623,0.0010207077410096734,0.0010207697369816607,0.0010204082431283911,0.0010206712734690065,0.0010206325601018465,0.6757621811027246,0.31607241579613743,0.0010207682082369741,0.00102067335624266
TCGA-AZ-6605-01A-11D-1835-10,0.0009526382444313571,0.000952625561642831,0.051281185810612924,0.0009523810249660323,0.0009526933817040085,0.1981138728811795,0.5717287638628316,0.1731606410470561,0.0009526044433701917,0.0009525937422055047
TCGA-AY-4070-01A-01W-1073-09,0.000666863668451379,0.0006668632036252251,0.0006668427367757722,0.00066666674250627,0.0006668967127638627,0.13702960519848356,0.7516666371495389,0.00066684202345261,0.0006668673679136261,0.10663591519648875
TCGA-AM-5821-01A-01D-1650-10,8.179038501251734e-05,0.019684033693327746,8.179162538577798e-05,8.176615737186644e-05,8.178935721821765e-05,0.7693699784114113,8.179087974967299e-05,0.21037347489318683,8.179400044174118e-05,8.179059689409299e-05
TCGA-DM-A1D4-01A-21D-A152-10,0.04447441187931447,0.0005320766997867741,0.0005320650282263299,0.0005319149451968943,0.0005320438007731973,0.0005320695175959233,0.5442745847777244,0.40752668229408356,0.0005320743522335617,0.0005320767050647868
TCGA-A6-3809-01A-01D-A270-10,8.736233375414998e-05,8.736223255935255e-05,8.735986571141877e-05,8.733625294309977e-05,8.735821520689343e-05,0.8427988987223074,0.0015227594808513573,0.13463344022531495,0.020520760497037834,8.736217431369088e-05
TCGA-AA-3696-01A-01W-0900-09,0.09010223702583245,0.0010872910182882973,0.0010872491042486449,0.0010869566120540906,0.0010873213804257031,0.0010872743655537804,0.6228703855823224,0.2794167202530863,0.0010872819854118607,0.0010872826727765256
TCGA-D5-6535-01A-11D-1719-10,0.0005651452827421382,0.0005651572147746317,0.0005651379143819473,0.0005649718122056072,0.0005651502949353078,0.0005651411823483305,0.9183531083841145,0.0005651270358544387,0.07712590666845806,0.0005651542101849801
TCGA-AA-3678-01A-01W-0900-09,0.0013892505264635172,0.0013892575085451549,0.11789832736761768,0.0013888890254344104,0.0013893579234852717,0.0013892632650293415,0.7101351788149046,0.16224207121675294,0.0013892256896482044,0.0013891786621188778
TCGA-F4-6569-01A-11D-1771-10,0.0008199065282459765,0.0008199058531986972,0.0008199152684690325,0.0008196722024424317,0.0008199333579701344,0.000819913057735962,0.7909047322264272,0.00081991154808957,0.20253624027484435,0.0008198696825766019
TCGA-AA-3989-01A-01W-0995-10,0.000862434832972723,0.0008624013164051593,0.0008623837014406271,0.0008620690450094256,0.000862305331736668,0.18754561752873072,0.6545718079897171,0.15184615138870497,0.0008624018782206346,0.000862426987061826
TCGA-AA-3680-01A-01W-0900-09,0.0009093673290170211,0.0009093424467040625,0.12579040209605036,0.0009090909797202565,0.0009093198027958336,0.0009093406616751906,0.5018965658001566,0.3659479470511946,0.0009093142796808586,0.000909309553005221
TCGA-AA-A00N-01A-02W-A00E-09,0.21096206589260746,0.025311606778546974,0.6766328344583593,1.9685041239897838e-05,0.010557754657292362,1.9691061155049617e-05,1.9691181606505406e-05,1.9691070755672478e-05,0.07391357643898963,0.002543403419447201
